candidate,multiomic_rank,rna_rank,atac_rank,rna_z,atac_z,multiomic_score,rna_replicate_cosine,atac_replicate_cosine,cross_modal_profile,experimental_validation_status,literature_summary,interpretation
YEATS4,1,1,3,2.512590292100536,1.043100523336518,1.7778454077185268,0.8698174953460693,0.9130221605300904,both_high,not experimentally validated in this analysis,"An original functional study identified YEATS4 as an oncogenic regulator in non-small-cell lung cancer, including effects on p53-dependent transcription; this is mechanistic context from another cancer type, not evidence specific to K562, CML, or Dasatinib.",Computational prioritisation: both high; rank is not causal proof.
GPBP1L1,2,3,2,0.1929131625972288,1.936848978793319,1.0648810706952738,0.7367863655090332,0.8734756708145142,both_high,not experimentally validated in this analysis,"The focused primary-literature search did not identify direct experimental evidence connecting GPBP1L1 to Dasatinib response, K562, or CML.",Computational prioritisation: both high; rank is not causal proof.
ZBED6,3,10,1,-0.7839663144453065,2.005940780593414,0.6109872330740538,0.1673994660377502,0.8570123314857483,atac_dominant,not experimentally validated in this analysis,"The original discovery study established ZBED6 as a transcriptional regulator of IGF2 and used ENCODE occupancy data that included K562, but its functional experiments concerned growth and muscle biology rather than CML or Dasatinib.",Computational prioritisation: atac dominant; rank is not causal proof.
HIC2,4,2,5,1.5418207593344688,-0.3959898744628656,0.5729154424358016,0.9062482118606568,0.573973536491394,rna_dominant,experimentally supported pooled perturbation,The authoritative CAT-ATAC BioProject record reports a Dasatinib-resistance regulatory network indirectly activated by HIC2 in this K562 perturbation dataset.,Computational prioritisation: rna dominant; rank is not causal proof.
KMT2B,5,4,4,0.1515319847230038,-0.2833234232598782,-0.0658957192684372,0.5877115726470947,0.8159216046333313,rna_dominant,not experimentally validated in this analysis,"Original mechanistic work shows that KMT2B maintains H3K4me3, accessible chromatin, RNA polymerase II association, and transcription at a CpG-island promoter. The study used mouse embryonic stem cells and is not CML- or Dasatinib-specific.",Computational prioritisation: rna dominant; rank is not causal proof.
CHD2,6,5,6,-0.2368820725719359,-0.4020347278772661,-0.319458400224601,0.5330438017845154,0.5273983478546143,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
ADNP,7,7,8,-0.3031753745182529,-0.4511480503788332,-0.3771617124485431,0.4178409874439239,-0.5559589266777039,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
PIAS1,8,9,7,-0.408291923110823,-0.4065023372589069,-0.407397130184865,0.2915305495262146,0.6114765405654907,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
TSC22D4,9,6,9,-0.2393421314607164,-0.5888617411362369,-0.4141019362984767,0.4449972808361053,0.7381266951560974,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
SIN3A,10,8,10,-0.3787900380491482,-0.7790005387337625,-0.5788952883914553,0.322874367237091,-0.3289335966110229,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
SLTM,11,11,11,-0.9207331212312152,-0.7842971953977477,-0.8525151583144814,0.2006766200065612,0.2991525530815124,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
MNT,12,12,12,-1.1276752233678409,-0.8947323942177565,-1.0112038087927986,-0.0658374056220054,0.2098733484745025,both_below_average,not experimentally validated in this analysis,Not included in the focused top-five literature review.,Computational prioritisation: both below average; rank is not causal proof.
