display_order,candidate,rna_score,rna_z,rna_rank,rna_replicate_cosine,rna_r1_effect_norm,rna_r2_effect_norm,atac_score,atac_z,atac_rank,atac_replicate_cosine,atac_r1_effect_norm,atac_r2_effect_norm,multiomic_score,multiomic_rank,cross_modal_profile,rna_to_multiomic_shift,atac_to_multiomic_shift,rna_consistency_category,atac_consistency_category,min_group_cells,experimental_validation_status,literature_evidence_category,primary_analysis_version
1,YEATS4,1.77528178691864,2.512590292100536,1,0.8698174953460693,1.9586414098739624,1.712870717048645,0.000408124004025,1.043100523336518,3,0.9130221605300904,0.0002708231622818,0.0005614702240563,1.7778454077185268,1,both_high,0,2,moderate/high agreement,moderate/high agreement,134.0,not evaluated,chromatin/transcriptional role,primary_v1
2,GPBP1L1,0.8570315837860107,0.1929131625972288,3,0.7367863655090332,1.034295678138733,0.8028643727302551,0.000566090166103,1.936848978793319,2,0.8734756708145142,0.0009137170272879,0.0002430112799629,1.0648810706952738,2,both_high,1,0,moderate/high agreement,moderate/high agreement,134.0,not evaluated,no clear supporting evidence found,primary_v1
3,ZBED6,0.4703313112258911,-0.7839663144453065,10,0.1673994660377502,0.6425288319587708,0.5878342986106873,0.0005783018423244,2.005940780593414,1,0.8570123314857483,0.0008732707938179,0.0003170719137415,0.6109872330740538,3,atac_dominant,7,-2,weak positive agreement,moderate/high agreement,134.0,not evaluated,chromatin/transcriptional role,primary_v1
4,HIC2,1.3910001516342163,1.5418207593344688,2,0.9062482118606568,1.2900667190551758,1.558899998664856,0.0001537710195407,-0.3959898744628656,5,0.573973536491394,0.0001784653723007,0.0001681668072706,0.5729154424358016,4,rna_dominant,-2,1,moderate/high agreement,moderate/high agreement,183.0,supported benchmark,direct experimental evidence,primary_v1
5,KMT2B,0.840650737285614,0.1515319847230038,4,0.5877115726470947,0.9142832159996032,0.972496211528778,0.0001736843260005,-0.2833234232598782,4,0.8159216046333313,0.0002066325687337,0.0001575827482156,-0.0658957192684372,5,rna_dominant,-1,-1,moderate/high agreement,moderate/high agreement,98.0,not evaluated,chromatin/transcriptional role,primary_v1
6,CHD2,0.686896026134491,-0.2368820725719359,5,0.5330438017845154,0.903458833694458,0.6599022746086121,0.0001527026179246,-0.4020347278772661,6,0.5273983478546143,0.0001801905455067,0.0001692306541372,-0.319458400224601,6,both_below_average,-1,0,moderate/high agreement,moderate/high agreement,145.0,not evaluated,not included in focused review,primary_v1
7,ADNP,0.6606536507606506,-0.3031753745182529,7,0.4178409874439239,0.849368691444397,0.7176568508148193,0.0001440220512449,-0.4511480503788332,8,-0.5559589266777039,0.0001387359079672,0.0003410841454751,-0.3771617124485431,7,both_below_average,0,1,weak positive agreement,directional inconsistency,76.0,not evaluated,not included in focused review,primary_v1
8,PIAS1,0.6190429925918579,-0.408291923110823,9,0.2915305495262146,0.7961275577545166,0.7440735101699829,0.0001519129873486,-0.4065023372589069,7,0.6114765405654907,0.0001527655404061,0.0001853325084084,-0.407397130184865,8,both_below_average,1,-1,weak positive agreement,moderate/high agreement,215.0,not evaluated,not included in focused review,primary_v1
9,TSC22D4,0.6859222054481506,-0.2393421314607164,6,0.4449972808361053,0.8120152354240417,0.8019086718559265,0.0001196817538584,-0.5888617411362369,9,0.7381266951560974,0.0001471142168156,0.0001092271704692,-0.4141019362984767,9,both_below_average,-3,0,weak positive agreement,moderate/high agreement,172.0,not evaluated,not included in focused review,primary_v1
10,SIN3A,0.630721390247345,-0.3787900380491482,8,0.322874367237091,0.8632910847663879,0.6823373436927795,8.607554627815261e-05,-0.7790005387337625,10,-0.3289335966110229,0.0001717028790153,0.0001143060289905,-0.5788952883914553,10,both_below_average,-2,0,weak positive agreement,directional inconsistency,75.0,not evaluated,not included in focused review,primary_v1
11,SLTM,0.416191816329956,-0.9207331212312152,11,0.2006766200065612,0.5301997661590576,0.5440406799316406,8.51393851917237e-05,-0.7842971953977477,11,0.2991525530815124,8.205998892663047e-05,0.0001266588369617,-0.8525151583144814,11,both_below_average,0,0,weak positive agreement,weak positive agreement,144.0,not evaluated,not included in focused review,primary_v1
12,MNT,0.3342732489109039,-1.1276752233678409,12,-0.0658374056220054,0.5411959290504456,0.429751455783844,6.562044291058555e-05,-0.8947323942177565,12,0.2098733484745025,7.031878340058029e-05,9.70330147538334e-05,-1.0112038087927986,12,both_below_average,0,0,directional inconsistency,weak positive agreement,203.0,not evaluated,not included in focused review,primary_v1
